 format: day,hour,forecast,value  location:60_127 Start : 20210701 
 2,200.0,20.0,2.4
 2,200.0,21.0,3.1
 2,200.0,22.0,3.5
 2,200.0,23.0,3.6
 2,200.0,24.0,3.9
 2,200.0,25.0,4.0
 2,200.0,26.0,4.5
 2,200.0,27.0,4.9
 2,200.0,28.0,4.7
 2,200.0,29.0,3.8
 2,200.0,30.0,4.3
 2,200.0,31.0,5.2
 2,200.0,32.0,5.7
 2,200.0,33.0,6.4
 2,200.0,34.0,6.5
 2,200.0,35.0,5.6
 2,200.0,36.0,5.1
 2,200.0,37.0,5.0
 2,200.0,38.0,4.7
 2,200.0,39.0,3.8
 2,200.0,40.0,3.5
 2,200.0,41.0,3.0
 2,200.0,42.0,2.9
 2,200.0,43.0,3.6
 2,200.0,44.0,3.8
 2,200.0,45.0,3.7
 2,200.0,46.0,3.6
 2,200.0,47.0,3.5
 2,200.0,48.0,3.4
 2,200.0,49.0,4.0
 2,200.0,50.0,3.8
 2,200.0,51.0,3.3
 2,200.0,52.0,3.4
 2,200.0,53.0,3.4
 2,200.0,54.0,3.2
 2,200.0,55.0,2.9
 2,200.0,56.0,2.3
 2,200.0,57.0,1.4
 2,200.0,58.0,1.2
 2,200.0,59.0,1.0
 2,200.0,60.0,0.9
 2,200.0,61.0,0.8
 2,500.0,6.0,2.7
 2,500.0,7.0,2.8
 2,500.0,8.0,2.7
 2,500.0,9.0,2.4
 2,500.0,10.0,2.3
 2,500.0,11.0,2.1
 2,500.0,12.0,1.9
 2,500.0,13.0,1.8
 2,500.0,14.0,1.4
 2,500.0,15.0,1.7
 2,500.0,16.0,2.0
 2,500.0,17.0,2.4
 2,500.0,18.0,3.1
 2,500.0,19.0,3.5
 2,500.0,20.0,3.6
 2,500.0,21.0,3.9
 2,500.0,22.0,4.0
 2,500.0,23.0,4.5
 2,500.0,24.0,4.9
 2,500.0,25.0,4.7
 2,500.0,26.0,3.8
 2,500.0,27.0,4.3
 2,500.0,28.0,5.2
 2,500.0,29.0,5.7
 2,500.0,30.0,6.4
 2,500.0,31.0,6.5
 2,500.0,32.0,5.6
 2,500.0,33.0,5.1
 2,500.0,34.0,5.0
 2,500.0,35.0,4.7
 2,500.0,36.0,3.8
 2,500.0,37.0,3.5
 2,500.0,38.0,3.0
 2,500.0,39.0,2.9
 2,500.0,40.0,3.6
 2,500.0,41.0,3.8
 2,500.0,42.0,3.7
 2,500.0,43.0,3.6
 2,500.0,44.0,3.5
 2,500.0,45.0,3.4
 2,500.0,46.0,4.0
 2,500.0,47.0,3.8
 2,500.0,48.0,3.3
 2,500.0,49.0,3.4
 2,500.0,50.0,3.4
 2,500.0,51.0,3.2
 2,500.0,52.0,2.9
 2,500.0,53.0,2.3
 2,500.0,54.0,1.4
 2,500.0,55.0,1.2
 2,500.0,56.0,1.0
 2,500.0,57.0,0.9
 2,500.0,58.0,0.8
 2,800.0,6.0,2.7
 2,800.0,7.0,2.1
 2,800.0,8.0,2.0
 2,800.0,9.0,1.6
 2,800.0,10.0,1.6
 2,800.0,11.0,1.6
 2,800.0,12.0,1.8
 2,800.0,13.0,2.2
 2,800.0,14.0,2.8
 2,800.0,15.0,2.8
 2,800.0,16.0,3.2
 2,800.0,17.0,3.3
 2,800.0,18.0,4.3
 2,800.0,19.0,4.7
 2,800.0,20.0,4.8
 2,800.0,21.0,3.6
 2,800.0,22.0,3.7
 2,800.0,23.0,4.1
 2,800.0,24.0,4.6
 2,800.0,25.0,5.4
 2,800.0,26.0,5.9
 2,800.0,27.0,5.7
 2,800.0,28.0,5.7
 2,800.0,29.0,5.1
 2,800.0,30.0,4.7
 2,800.0,31.0,4.9
 2,800.0,32.0,4.5
 2,800.0,33.0,4.7
 2,800.0,34.0,4.1
 2,800.0,35.0,4.6
 2,800.0,36.0,4.1
 2,800.0,37.0,4.2
 2,800.0,38.0,4.1
 2,800.0,39.0,4.1
 2,800.0,40.0,4.3
 2,800.0,41.0,4.4
 2,800.0,42.0,4.2
 2,800.0,43.0,4.2
 2,800.0,44.0,4.1
 2,800.0,45.0,4.4
 2,800.0,46.0,4.3
 2,800.0,47.0,4.5
 2,800.0,48.0,4.3
 2,800.0,49.0,3.9
 2,800.0,50.0,3.1
 2,800.0,51.0,2.0
 2,800.0,52.0,1.7
 2,800.0,53.0,1.5
 2,800.0,54.0,1.3
 2,800.0,55.0,1.0
 2,800.0,56.0,0.9
 2,800.0,57.0,0.8
 2,800.0,58.0,0.7
 2,800.0,59.0,0.5
 2,800.0,60.0,0.8
 2,800.0,61.0,0.9
 2,800.0,62.0,1.3
 2,800.0,63.0,1.4
 2,800.0,64.0,1.1
 2,800.0,65.0,1.3
 2,800.0,66.0,1.9
 2,800.0,67.0,2.4
 2,800.0,68.0,2.8
 2,800.0,69.0,2.9
 2,800.0,70.0,3.2
 2,800.0,71.0,3.5
 2,800.0,72.0,3.3
 2,800.0,73.0,2.8
 2,800.0,74.0,2.4
 2,800.0,75.0,1.2
 2,800.0,76.0,0.6
 2,800.0,77.0,0.6
 2,800.0,78.0,0.9
 2,800.0,79.0,1.1
 2,1100.0,6.0,1.6
 2,1100.0,7.0,1.6
 2,1100.0,8.0,1.6
 2,1100.0,9.0,1.8
 2,1100.0,10.0,2.2
 2,1100.0,11.0,2.8
 2,1100.0,12.0,2.8
 2,1100.0,13.0,3.2
 2,1100.0,14.0,3.3
 2,1100.0,15.0,4.3
 2,1100.0,16.0,4.7
 2,1100.0,17.0,4.8
 2,1100.0,18.0,3.6
 2,1100.0,19.0,3.7
 2,1100.0,20.0,4.1
 2,1100.0,21.0,4.6
 2,1100.0,22.0,5.4
 2,1100.0,23.0,5.9
 2,1100.0,24.0,5.7
 2,1100.0,25.0,5.7
 2,1100.0,26.0,5.1
 2,1100.0,27.0,4.7
 2,1100.0,28.0,4.9
 2,1100.0,29.0,4.5
 2,1100.0,30.0,4.7
 2,1100.0,31.0,4.1
 2,1100.0,32.0,4.6
 2,1100.0,33.0,4.1
 2,1100.0,34.0,4.2
 2,1100.0,35.0,4.1
 2,1100.0,36.0,4.1
 2,1100.0,37.0,4.3
 2,1100.0,38.0,4.4
 2,1100.0,39.0,4.2
 2,1100.0,40.0,4.2
 2,1100.0,41.0,4.1
 2,1100.0,42.0,4.4
 2,1100.0,43.0,4.3
 2,1100.0,44.0,4.5
 2,1100.0,45.0,4.3
 2,1100.0,46.0,3.9
 2,1100.0,47.0,3.1
 2,1100.0,48.0,2.0
 2,1100.0,49.0,1.7
 2,1100.0,50.0,1.5
 2,1100.0,51.0,1.3
 2,1100.0,52.0,1.0
 2,1100.0,53.0,0.9
 2,1100.0,54.0,0.8
 2,1100.0,55.0,0.7
 2,1100.0,56.0,0.5
 2,1100.0,57.0,0.8
 2,1100.0,58.0,0.9
 2,1100.0,59.0,1.3
 2,1100.0,60.0,1.4
 2,1100.0,61.0,1.1
 2,1100.0,62.0,1.3
 2,1100.0,63.0,1.9
 2,1100.0,64.0,2.4
 2,1100.0,65.0,2.8
 2,1100.0,66.0,2.9
 2,1100.0,67.0,3.2
 2,1100.0,68.0,3.5
 2,1100.0,69.0,3.3
 2,1100.0,70.0,2.8
 2,1100.0,71.0,2.4
 2,1100.0,72.0,1.2
 2,1100.0,73.0,0.6
 2,1100.0,74.0,0.6
 2,1100.0,75.0,0.9
