 format: day,hour,forecast,value  location:60_127 Start : 20210701 
 22,0500,+7,36.000000 
 22,0800,+6,36.000000 
 22,0800,+7,37.000000 
 22,0800,+8,36.000000 
 22,1100,+6,36.000000 
 22,1100,+7,37.000000 
 22,1100,+8,36.000000 
 22,1400,+6,36.000000 
 22,1400,+7,37.000000 
 22,1400,+8,36.000000 
 22,1700,+6,36.000000 
 22,1700,+7,37.000000 
 22,1700,+8,36.000000 
 22,2000,+6,36.000000 
 22,2000,+7,37.000000 
 22,2000,+8,36.000000 
 22,2300,+6,36.000000 
 22,2300,+7,37.000000 
 22,2300,+8,36.000000 
 Start : 20210723 
 23,0200,+6,37.000000 
 23,0200,+7,37.000000 
 23,0200,+8,36.000000 
 23,0500,+6,37.000000 
 23,0500,+7,36.000000 
 23,0800,+6,37.000000 
 23,0800,+7,36.000000 
 23,0800,+8,35.000000 
 23,1100,+6,37.000000 
 23,1100,+7,36.000000 
 23,1100,+8,35.000000 
 23,1400,+6,37.000000 
 23,1400,+7,36.000000 
 23,1400,+8,35.000000 
 23,1700,+6,37.000000 
 23,1700,+7,36.000000 
 23,1700,+8,35.000000 
 23,2000,+6,37.000000 
 23,2000,+7,36.000000 
 23,2000,+8,35.000000 
 23,2300,+6,37.000000 
 23,2300,+7,36.000000 
 23,2300,+8,35.000000 
 Start : 20210724 
 24,0200,+6,37.000000 
 24,0200,+7,36.000000 
 24,0200,+8,35.000000 
 24,0500,+6,36.000000 
 24,0500,+7,35.000000 
 24,0800,+6,37.000000 
 24,0800,+7,36.000000 
 24,0800,+8,36.000000 
 24,1100,+6,37.000000 
 24,1100,+7,36.000000 
 24,1100,+8,36.000000 
 24,1400,+6,37.000000 
 24,1400,+7,36.000000 
 24,1400,+8,36.000000 
 24,1700,+6,37.000000 
 24,1700,+7,36.000000 
 24,1700,+8,36.000000 
 24,2000,+6,37.000000 
 24,2000,+7,36.000000 
 24,2000,+8,36.000000 
 24,2300,+6,37.000000 
 24,2300,+7,36.000000 
 24,2300,+8,36.000000 
 Start : 20210725 
 25,0200,+6,37.000000 
 25,0200,+7,36.000000 
 25,0200,+8,36.000000 
 25,0500,+6,36.000000 
 25,0500,+7,36.000000 
 25,0800,+6,36.000000 
 25,0800,+7,36.000000 
 25,0800,+8,35.000000 
 25,1100,+6,36.000000 
 25,1100,+7,36.000000 
 25,1100,+8,35.000000 
 25,1400,+6,36.000000 
 25,1400,+7,36.000000 
 25,1400,+8,35.000000 
 25,1700,+6,36.000000 
 25,1700,+7,36.000000 
 25,1700,+8,35.000000 
 25,2000,+6,36.000000 
 25,2000,+7,36.000000 
 25,2000,+8,35.000000 
 25,2300,+6,36.000000 
 25,2300,+7,36.000000 
 25,2300,+8,35.000000 
 Start : 20210726 
 26,0200,+6,36.000000 
 26,0200,+7,36.000000 
 26,0200,+8,35.000000 
 26,0500,+6,36.000000 
 26,0500,+7,35.000000 
 26,0800,+6,35.000000 
 26,0800,+7,35.000000 
 26,0800,+8,33.000000 
 26,1100,+6,35.000000 
 26,1100,+7,35.000000 
 26,1100,+8,33.000000 
 26,1400,+6,35.000000 
 26,1400,+7,35.000000 
 26,1400,+8,33.000000 
 26,1700,+6,35.000000 
 26,1700,+7,35.000000 
 26,1700,+8,33.000000 
 26,2000,+6,35.000000 
 26,2000,+7,35.000000 
 26,2000,+8,34.000000 
 26,2300,+6,35.000000 
 26,2300,+7,35.000000 
 26,2300,+8,34.000000 
 Start : 20210727 
 27,0200,+6,36.000000 
 27,0200,+7,35.000000 
 27,0200,+8,34.000000 
 27,0500,+6,35.000000 
 27,0500,+7,34.000000 
 27,0800,+6,35.000000 
 27,0800,+7,34.000000 
 27,0800,+8,34.000000 
 27,1100,+6,35.000000 
 27,1100,+7,34.000000 
 27,1100,+8,34.000000 
 27,1400,+6,35.000000 
 27,1400,+7,34.000000 
 27,1400,+8,34.000000 
 27,1700,+6,35.000000 
 27,1700,+7,34.000000 
 27,1700,+8,34.000000 
 27,2000,+6,36.000000 
 27,2000,+7,35.000000 
 27,2000,+8,35.000000 
 27,2300,+6,36.000000 
 27,2300,+7,35.000000 
 27,2300,+8,35.000000 
 Start : 20210728 
 28,0200,+6,36.000000 
 28,0200,+7,35.000000 
 28,0200,+8,35.000000 
 28,0500,+6,35.000000 
 28,0500,+7,35.000000 
 28,0800,+6,34.000000 
 28,0800,+7,35.000000 
 28,0800,+8,33.000000 
 28,1100,+6,34.000000 
 28,1100,+7,35.000000 
 28,1100,+8,33.000000 
 28,1400,+6,34.000000 
 28,1400,+7,35.000000 
 28,1400,+8,33.000000 
 28,1700,+6,34.000000 
 28,1700,+7,35.000000 
 28,1700,+8,33.000000 
 28,2000,+6,34.000000 
 28,2000,+7,35.000000 
 28,2000,+8,33.000000 
 28,2300,+6,34.000000 
 28,2300,+7,35.000000 
 28,2300,+8,33.000000 
 Start : 20210729 
 29,0200,+6,34.000000 
 29,0200,+7,35.000000 
 29,0200,+8,33.000000 
 29,0500,+6,35.000000 
 29,0500,+7,33.000000 
 29,0800,+6,35.000000 
 29,0800,+7,33.000000 
 29,0800,+8,33.000000 
 29,1100,+6,35.000000 
 29,1100,+7,33.000000 
 29,1100,+8,33.000000 
 29,1400,+6,35.000000 
 29,1400,+7,33.000000 
 29,1400,+8,33.000000 
 29,1700,+6,35.000000 
 29,1700,+7,33.000000 
 29,1700,+8,33.000000 
 29,2000,+6,35.000000 
 29,2000,+7,33.000000 
 29,2000,+8,33.000000 
 29,2300,+6,35.000000 
 29,2300,+7,33.000000 
 29,2300,+8,33.000000 
 Start : 20210730 
 30,0200,+6,35.000000 
 30,0200,+7,33.000000 
 30,0200,+8,33.000000 
 30,0500,+6,33.000000 
 30,0500,+7,33.000000 
 30,0800,+6,33.000000 
 30,0800,+7,30.000000 
 30,0800,+8,31.000000 
 30,1100,+6,33.000000 
 30,1100,+7,30.000000 
 30,1100,+8,31.000000 
 30,1400,+6,33.000000 
 30,1400,+7,30.000000 
 30,1400,+8,31.000000 
 30,1700,+6,33.000000 
 30,1700,+7,30.000000 
 30,1700,+8,31.000000 
 30,2000,+6,33.000000 
 30,2000,+7,30.000000 
 30,2000,+8,30.000000 
 30,2300,+6,33.000000 
 30,2300,+7,30.000000 
 30,2300,+8,30.000000 
 Start : 20210731 
 31,0200,+6,33.000000 
 31,0200,+7,30.000000 
 31,0200,+8,30.000000 
 31,0500,+6,30.000000 
 31,0500,+7,30.000000 
 31,0800,+6,31.000000 
 31,0800,+7,30.000000 
 31,0800,+8,33.000000 
 31,1100,+6,31.000000 
 31,1100,+7,30.000000 
 31,1100,+8,33.000000 
 31,1400,+6,31.000000 
 31,1400,+7,30.000000 
 31,1400,+8,33.000000 
 31,1700,+6,31.000000 
 31,1700,+7,30.000000 
 31,1700,+8,33.000000 
 31,2000,+6,31.000000 
 31,2000,+7,30.000000 
 31,2000,+8,33.000000 
 31,2300,+6,31.000000 
 31,2300,+7,30.000000 
 31,2300,+8,33.000000 
 Start : 20210801 
 1,0200,+6,31.000000 
 1,0200,+7,30.000000 
 1,0200,+8,33.000000 
 1,0500,+6,30.000000 
 1,0500,+7,33.000000 
 1,0800,+6,30.000000 
 1,0800,+7,31.000000 
 1,0800,+8,32.000000 
 1,1100,+6,30.000000 
 1,1100,+7,31.000000 
 1,1100,+8,32.000000 
 1,1400,+6,30.000000 
 1,1400,+7,31.000000 
 1,1400,+8,32.000000 
 1,1700,+6,30.000000 
 1,1700,+7,31.000000 
 1,1700,+8,32.000000 
 1,2000,+6,30.000000 
 1,2000,+7,30.000000 
 1,2000,+8,32.000000 
 1,2300,+6,30.000000 
 1,2300,+7,30.000000 
 1,2300,+8,32.000000 
 Start : 20210802 
 2,0200,+6,30.000000 
 2,0200,+7,30.000000 
 2,0200,+8,32.000000 
 2,0500,+6,30.000000 
 2,0500,+7,32.000000 
 2,0800,+6,30.000000 
 2,0800,+7,33.000000 
 2,0800,+8,34.000000 
 2,1100,+6,30.000000 
 2,1100,+7,33.000000 
 2,1100,+8,34.000000 
 2,1400,+6,30.000000 
 2,1400,+7,33.000000 
 2,1400,+8,34.000000 
 2,1700,+6,30.000000 
 2,1700,+7,33.000000 
 2,1700,+8,34.000000 
 2,2000,+6,30.000000 
 2,2000,+7,33.000000 
 2,2000,+8,34.000000 
 2,2300,+6,30.000000 
 2,2300,+7,33.000000 
 2,2300,+8,34.000000 
 Start : 20210803 
 3,0200,+6,30.000000 
 3,0200,+7,33.000000 
 3,0200,+8,34.000000 
 3,0500,+6,33.000000 
 3,0500,+7,34.000000 
 3,0800,+6,32.000000 
 3,0800,+7,34.000000 
 3,0800,+8,35.000000 
 3,1100,+6,32.000000 
 3,1100,+7,34.000000 
 3,1100,+8,35.000000 
 3,1400,+6,32.000000 
 3,1400,+7,34.000000 
 3,1400,+8,35.000000 
 3,1700,+6,32.000000 
 3,1700,+7,34.000000 
 3,1700,+8,35.000000 
 3,2000,+6,32.000000 
 3,2000,+7,34.000000 
 3,2000,+8,34.000000 
 3,2300,+6,32.000000 
 3,2300,+7,34.000000 
 3,2300,+8,34.000000 
 Start : 20210804 
 4,0200,+6,33.000000 
 4,0200,+7,34.000000 
 4,0200,+8,34.000000 
 4,0500,+6,34.000000 
 4,0500,+7,35.000000 
 4,0800,+6,34.000000 
 4,0800,+7,35.000000 
 4,0800,+8,32.000000 
 4,1100,+6,34.000000 
 4,1100,+7,35.000000 
 4,1100,+8,32.000000 
 4,1400,+6,34.000000 
 4,1400,+7,35.000000 
 4,1400,+8,32.000000 
 4,1700,+6,34.000000 
 4,1700,+7,35.000000 
 4,1700,+8,32.000000 
 4,2000,+6,34.000000 
 4,2000,+7,35.000000 
 4,2000,+8,33.000000 
 4,2300,+6,34.000000 
 4,2300,+7,35.000000 
 4,2300,+8,33.000000 
 Start : 20210805 
 5,0200,+6,34.000000 
 5,0200,+7,35.000000 
 5,0200,+8,33.000000 
 5,0500,+6,35.000000 
 5,0500,+7,33.000000 
 5,0800,+6,35.000000 
 5,0800,+7,34.000000 
 5,0800,+8,33.000000 
 5,1100,+6,35.000000 
 5,1100,+7,34.000000 
 5,1100,+8,33.000000 
 5,1400,+6,35.000000 
 5,1400,+7,34.000000 
 5,1400,+8,33.000000 
 5,1700,+6,35.000000 
 5,1700,+7,34.000000 
 5,1700,+8,33.000000 
 5,2000,+6,34.000000 
 5,2000,+7,33.000000 
 5,2000,+8,34.000000 
 5,2300,+6,34.000000 
 5,2300,+7,33.000000 
 5,2300,+8,34.000000 
 Start : 20210806 
 6,0200,+6,34.000000 
 6,0200,+7,33.000000 
 6,0200,+8,34.000000 
 6,0500,+6,33.000000 
 6,0500,+7,34.000000 
 6,0800,+6,34.000000 
 6,0800,+7,33.000000 
 6,0800,+8,33.000000 
 6,1100,+6,34.000000 
 6,1100,+7,33.000000 
 6,1100,+8,33.000000 
 6,1400,+6,34.000000 
 6,1400,+7,33.000000 
 6,1400,+8,33.000000 
 6,1700,+6,34.000000 
 6,1700,+7,33.000000 
 6,1700,+8,33.000000 
 6,2000,+6,33.000000 
 6,2000,+7,34.000000 
 6,2000,+8,33.000000 
 6,2300,+6,33.000000 
 6,2300,+7,34.000000 
 6,2300,+8,33.000000 
 Start : 20210807 
 7,0200,+6,33.000000 
 7,0200,+7,34.000000 
 7,0200,+8,33.000000 
 7,0500,+6,34.000000 
 7,0500,+7,33.000000 
 7,0800,+6,34.000000 
 7,0800,+7,33.000000 
 7,0800,+8,31.000000 
 7,1100,+6,34.000000 
 7,1100,+7,33.000000 
 7,1100,+8,31.000000 
 7,1400,+6,34.000000 
 7,1400,+7,33.000000 
 7,1400,+8,31.000000 
 7,1700,+6,34.000000 
 7,1700,+7,33.000000 
 7,1700,+8,31.000000 
 7,2000,+6,34.000000 
 7,2000,+7,33.000000 
 7,2000,+8,31.000000 
 7,2300,+6,34.000000 
 7,2300,+7,33.000000 
 7,2300,+8,31.000000 
 Start : 20210808 
 8,0200,+6,34.000000 
 8,0200,+7,33.000000 
 8,0200,+8,31.000000 
 8,0500,+6,33.000000 
 8,0500,+7,31.000000 
 8,0800,+6,33.000000 
 8,0800,+7,30.000000 
 8,0800,+8,31.000000 
 8,1100,+6,33.000000 
 8,1100,+7,30.000000 
 8,1100,+8,31.000000 
 8,1400,+6,33.000000 
 8,1400,+7,30.000000 
 8,1400,+8,31.000000 
 8,1700,+6,33.000000 
 8,1700,+7,30.000000 
 8,1700,+8,31.000000 
 8,2000,+6,33.000000 
 8,2000,+7,30.000000 
 8,2000,+8,31.000000 
 8,2300,+6,33.000000 
 8,2300,+7,30.000000 
 8,2300,+8,31.000000 
 Start : 20210809 
 9,0200,+6,33.000000 
 9,0200,+7,30.000000 
